#key	name	year	genre	developer	players
Starshot - Space Circus Fever (USA) (En,Fr,Es)	Starshot : Space Circus Fever	1999	Platform / Run & Jump/Platform	Infogrames	1
Stunt Racer 64 (USA)	Stunt Racer 64	2000	Racing, Driving	Boss Game	1-4
Super B-Daman - Battle Phoenix 64 (Japan)	Super B-Daman : Battle Phoenix 64	1998	Shooter / TPV/Shooter	Hudson Soft	1-4
Super Bowling (USA)	Super Bowling	2001	Sports / Bowling/Sports	Athena	1-4
Super Mario 64 (USA)	Super Mario 64	1996	Action/Action / Adventure	Nintendo	1
Super Robot Spirits (Japan)	Super Robot Spirits	1998	Fighting / Versus/Fighting	Vertex	1-2
Super Robot Taisen 64 (Japan)	Super Robot Taisen 64	1999	Role Playing Game	AI	1
Super Smash Bros. (USA)	Super Smash Bros.	1999	Fighting / Versus/Fighting	HAL Laboratory	1-4
Supercross 2000 (USA)	Supercross 2000	1999	Racing, Driving / Motorcycle/Racing, Driving	MBL Research	1-2
Superman - The New Superman Aventures (USA) (En,Fr,Es)	Superman : The New Superman Adventures	1999	Action / Adventure/Action	Titus	1-4
Susume! Taisen Puzzle Dama - Toukon! Marutama Chou (Japan)	Susume! Taisen Puzzle Dama : Toukon! Marutama Chou	1998	Puzzle	KCEK	1-2
Sydney 2000 (USA) (Proto)	Sydney 2000	2000	Sports / Multisports/Sports	Attention To Detail (ATD)	1-4
Tarzan (USA)	Tarzan	2000	Platform / Run & Jump/Platform	Eurocom	1
Taz Express (Europe) (En,Fr,De,Es,It,Nl)	Taz Express	2000	Platform / Run & Jump/Platform	Zed Two	1
Tetris 64 (Japan) (En)	Tetris 64	1998	Puzzle / Fall/Puzzle	Amtex	1-4
Tetrisphere (USA)	Tetrisphere	1997	Puzzle	H20 Interactive	1-2
Tigger's Honey Hunt (USA)	Tigger's Honey Hunt	2000	Platform/Platform / Run & Jump	Doki Denki	1-2
Tom and Jerry in Fists of Furry (USA)	Tom and Jerry in Fists of Furry	2000	Fighting / Versus/Fighting	VIS Entertainment	1-2
Tom Clancy's Rainbow Six (USA)	Rainbow Six	1999	Shooter / FPV/Shooter	Saffire	1-2
Tommy Thunder (USA) (Proto) (1997-10-01)	Tommy Thunder	1997	Lightgun Shooter	Player 1	1
Tonic Trouble (Europe) (En,Fr,De,Es,It)	Tonic Trouble	1999	Action / Adventure/Action	Ubi Soft Entertainment	1
Tony Hawk's Pro Skater (USA)	Tony Hawk's Pro Skater	2000	Sports / Skateboard/Sports	Edge of Reality	1-2
Tony Hawk's Pro Skater 2 (USA)	Tony Hawk's Pro Skater 2	2001	Sports / Skateboard/Sports	Edge of Reality	1-2
Tony Hawk's Pro Skater 3 (USA)	Tony Hawk's Pro Skater 3	2002	Sports / Skateboard/Sports	Edge of Reality	1-2
Toon Panic (Japan) (Proto)	Toon Panic	2000	Sports	Bottom Up Interactive	1-4
Top Gear Hyper-Bike (USA)	Top Gear Hyper-Bike	2000	Racing, Driving / Motorcycle/Racing, Driving	Snowblind	1-2
Top Gear Overdrive (USA)	Top Gear Overdrive	1998	Racing, Driving	Snowblind	1-4
Top Gear Rally (USA)	Top Gear Rally	1997	Racing, Driving	Boss Game	1-2
Top Gear Rally 2 (USA)	Top Gear Rally 2	1999	Racing, Driving	Saffire	1-4
Toy Story 2 - Buzz Lightyear to the Rescue! (USA)	Toy Story 2 : Buzz Lightyear to the Rescue!	1999	Action/Action / Adventure	Traveller's Tales	1
Transformers - Beast Wars Transmetals (USA)	Transformers : Beast Wars Transmetals	2000	Fighting / Versus/Fighting	Locomotive	1-2
Triple Play 2000 (USA)	Triple Play 2000	1999	Sports / Baseball/Sports	Treyarch	1-2
Tsumi to Batsu - Hoshi no Keishousha (Japan)	Tsumi to Batsu : Hoshi no Keishousha	2000	Shooter / FPV/Shooter	Treasure	1-2
Turok - Dinosaur Hunter (USA)	Turok : Dinosaur Hunter	1997	Shooter / FPV/Shooter	Iguana Entertainment	1
Turok - Rage Wars (USA)	Turok : Rage Wars	1999	Shooter / FPV/Shooter	Acclaim Entertainment	1-4
Turok 2 - Seeds of Evil (USA)	Turok 2 : Seeds Of Evil	1998	Shooter / FPV/Shooter	Iguana Entertainment	1-4
Turok 3 - Shadow of Oblivion (USA)	Turok 3 : Shadow of Oblivion	2000	Shooter / FPV/Shooter	Acclaim Entertainment	1-4
