#key	synopsis
Buck Bumble (USA)	A chemical spill somewhere in rural England has mutated an army of bees into killer, deadly insects. Led by their queen, they are out to destroy everything living thing on the planet, including all insects that dare stop them. Only Buck Bumble, the only bee not to be turned evil by the ways of the queen, can save the world, and his fellow insects, from total destruction. Using Buck's weapons, you must shoot down the many swarms of enemy bees, while staying above ground avoiding the hazards bellow. At times you may have to land on the ground and attack on foot, while certain enemies can only be destroyed by certain weapons. Also included is a handful of two-player split-screen modes, including Buzz Ball, a unique soccer style game where each player controls a Bee while attempting to kick the slightly larger ball into the others goal.
Bug's Life, A (USA)	Based on the Disney/Pixar 3D animated film, you must guide Flik as he sets out to find a group of warrior insects to help his colony of ants to fight off the hungry grasshoppers. Travel through the 3D insect world, using the many elements of nature to fight the enemy, to get to the end of each stage, in turn saving fellow ants and knocking the grasshoppers quest for ant domination on the head.
Bust-A-Move '99 (USA)	Play against the clock, the computer AI, or your friends, as you attempt to clear the playing field of all the coloured bubbles. Simply put, aim your bubble shooter at the bubbles above, and with three or more of the same colour connected, the bubbles will pop. Along with a conversion of the arcade hit Bust-A-Move 3, '99 also includes Challenge mode (which rates your performance after each round), Contest mode (win as many rounds in a row as possible) and Edit mode, where you can create your own Bust-A-Move puzzles. And of course, 2 and 4 player (N64 only) modes are included to challenge your friends.
Bust-A-Move 2 - Arcade Edition (USA)	Bub and Bob are back with some bubble-bursting puzzle action! Like Tetris in reverse, you shoot bubbles at an array of different-colored bubbles stuck in an ever descending ceiling, that you have to match up three by three to make them disappear. This edition contains both puzzle challenges, multiplayer and normal stage by stage progression.
California Speed (USA)	California Speed has you racing through, of course, California, with a range of different and unique tracks based on the real life maps of the US state, with short-cuts and branching elements adding elements of strategy when racing to the finish line. Cars include the usual collection of fast cars, as well as F1 racers and golf-carts, and you can customize your car's paint job to suit your style. Split screen two player racing is supported.
Carmageddon 64 (USA)	In Carmageddon, the player races a vehicle against a number of other computer controlled competitors in various settings, including city, mine and industrial areas. The player has a certain amount of time to complete each race, but more time may be gained by collecting bonuses, damaging the competitors' cars or by running over pedestrians.
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21)	In Carnivalé for Nintendo 64, you must escape the grasp of a wicked group of carnival masters! The masters of Carnivale have captured an unfortunate group of kids and are holding them in separate areas of the park. Playing as each of the five kids (at different points), you'll challenge the wicked masters to a duel for your freedom. The duels come in the form of races through each of the bizarre sections of the Carnivale, which you must win in order to gain your freedom. Each of the five events takes the form of a top-down race through brightly colored and spooky locations filled with traps and other obstacles. You can also hook up with a friend for head-to-head racing through the strange park. Can you win your freedom from this terrifying carnival of evil?
Castlevania (USA)	Konami's long-running series of Castlevania games makes its debut on the N64. The traditional 2D graphics have been left behind; this is the first Castlevania game in 3D. However, the goal of the game remains the same: kick some vampire butt as you battle the evil Count Dracula and his minions in this platformer. The player can either choose to be Reinhardt Schneider (for the traditional whip action) or Carrie Fernandez (who uses magical powers). Both characters have their own story line. A nice feature is the presence of an in-game clock which changes the time of the day (either day or night). Reinhardt & Carrie both appear again in the second Castlevania game for the N64: Castlevania: Legacy of Darkness, which has new layouts for the levels of this game.
Castlevania - Legacy of Darkness (USA)	Set in the year 1844, the game stars the man-beast Cornell in his quest to prevent his adoptive sister, Ada, from being used as a sacrifice to resurrect Dracula. The game opens as Cornell arrives at his village, which has been burned to the ground by Dracula's minions. He finds Ada's pendant in a doorway and follows her scent to Dracula's castle. During the course of the game, Cornell comes upon a grand estate owned by the Oldrey family: J.A. Oldrey, the master of the Villa, Mary, his wife, and Henry, their son. Gilles de Rais and Actrise have turned Oldrey Senior into a vampire. At Mary's request, Cornell guides Henry to safety. Later in life, Henry returns to Castlevania to save kidnapped children.
Centre Court Tennis (Europe)	Centre Court Tennis is a tennis game that does not take itself too seriously. After creating your Lego-like character, you are set to go! The basic game features a multiplayer mode (up to 4 players), a tournament mode and an exhibition mode. You also have four mini-games, &quot;Tennis Court Bingo&quot;, &quot;Burning Barrels&quot;, &quot;Run and Gun&quot; & Knock'em Down&quot;, where your goal is to hit certain objects in the tennis field. You can win special prices for getting enough points. Additionally, you have a special challenge mode where you have to play against your opponent in odd conditions - your tennis field might be rotating, made from ice or about to explode, to name a few. Beat your foe and you will be rewarded with a piece clothing or item of your choosing from your opponent's dressing room. Lose and you lose an item that your opponent picked. Keep on losing and you have to play your games wearing nothing but your underwear, which makes the game like a sort of family-friendly strip tennis.
Chameleon Twist (USA)	Davy the chameleon is minding his own business, when a rabbit catches his eye. Following the rabbit into its hole, he soon finds himself transformed into a super, alien chameleon, with an extra long tongue. Stuck in an unknown world, he must use his new strength to find his way out back to his home. Using the analog stick, you can control Davy's tongue to catch enemies and throw them back as bullets, grab onto to distant poles and ledges for a quick way through the land, or perform tricks like tongue-pole vault, in which he can reach even higher distances by using his tongue as a pole vault.
Chameleon Twist 2 (USA)	After finding his way back home from his first adventure, Davy decides to relax with his friends. However, while playing on the see-saw, a huge rabbit falls from the sky, sending Davy head long into the sky. So once again, using his long tounge to attack enemies and grab onto distant ledges, Davy must find his way home from the land in the sky. For the second adventure, you can now choose from 4 different Chameleon's, Davy and friends Linda, Fred and Jack. And as well as using his tongue, Davy can also use a parasol to float across large gaps.
Charlie Blast's Territory (USA)	Charlie Blast is a construction worker, but quite different than his more famous colleague. Charlie has a convincing beer belly, he has trouble keeping his jeans up (yup, you will get a nice view of his crack quite frequently) and his chest hair makes David Hasselhoff feel ashamed about himself. He is not trying to save a princess either; his mission is to blow islands up with TNT! With 3D graphics and some platform elements, Charlie Blast's Territory, a remake of Kablooey, is a modernization of one of the classic puzzle genres where your goal is to push crates into the correct spots. Every level is an island. On every island you have at least one bomb and one TNT box. Your goal is to push all of them next to each others and then blow everything up in a huge chain reaction. When you do, you advance a level. You cannot pull the crates but you can climb over them.
Chopper Attack (USA)	In Chopper Attack, you take a chopper and.. well.. attack! You get to choose between eight different attack choppers, each having its own strengths and weaknesses. After the briefing from your XO, you are set to destroy something - tanks, other helicopters, planes, radars, buildings etc. While the mission only requires you to do something specific, destroying everything gives you bonuses and money, which you can then use to buy more heavy-duty missiles between the missions.
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)	As the title suggests, the game features the popular Choro Q toy cars in a fast-paced, action-packed racing experience. Players can choose from a wide range of Choro Q cars, each with their unique characteristics and abilities. The game offers various modes of play, including Grand Prix mode, Time Attack mode, and VS mode, where players can compete against each other. In Grand Prix mode, players compete in a series of races, with each race taking place in a different location and featuring different challenges and obstacles. The races range from simple laps around a track to more complex courses that require players to navigate through obstacles and hazards. Time Attack mode challenges players to complete a set course as quickly as possible, with the best times recorded on a leaderboard. VS mode allows two players to race against each other on split-screen, adding an extra level of excitement and competition.
Chou Kuukan Nighter Pro Yakyuu King (Japan)	Chou Kuukan Nighter Pro Yakyuu King is a baseball game featuring teams from the Japanese professional league, as well as two game modes: Exhibition and Season. The Season mode involves playing an entire season with a team, allowing for player transfers. Each player has unique stats that can be improved.
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan)	Chōkūkan Night: Pro Yakyū King 2 is a baseball simulation game with anime graphics. As the title suggests, the game is the second installment in the Pro Yakyū King series and offers an immersive and realistic baseball experience. Players can choose from a wide range of real-life baseball teams, including all 12 teams from the Japan Professional Baseball League. The game features a variety of modes, including Exhibition mode, League mode, and Tournament mode, allowing players to experience the game in different ways. In Exhibition mode, players can play a single game against a computer opponent or another player. League mode allows players to compete in a full season of games, with the ultimate goal of winning the championship. Tournament mode offers a variety of tournaments and challenges for players to participate in, with various rewards and prizes for successful players.
Clay Fighter - Sculptor's Cut (USA)	Get ready to crumble... with this special edition of the world's funniest fighting game! This &quot;director's cut&quot; contains many extras added to the original Clay Fighter 63 1/3 game. You might lose lives, you might lose limbs, but don't lose your sense of humor! 12 eccentric fighters plus 4 additional clay combatants only found in this version. More snide remarks and barbed wit will have you crying from laughing so hard! Original characters get additional attacks for an all-new experience. Enhanced camera angle stays put to see more details in the environment and improve fight control!
Clay Fighter 63 1-3 (USA)	In this zany beat 'em up, clay animated fighters clash in a fight to the clay death. Characters such as Bad Mr. Frosty (a snowman gone terribly bad), Blob (a green pile of slime), Bonker the nightmare clown and a host more are available to choose from, each with a range of moves that no clay animated character has ever attempted before (such as throwing chickens, clay, and plenty of other objects, including themselves).
Command & Conquer (USA)	Command & Conquer developed ideas from Westwood's previous Dune 2, forming a real time strategy game which has influenced many. The control system of selecting units with the mouse and then directing them is similar to future titles such as Total Annihilation. The game focuses on a war between two organizations, The Brotherhood of Nod and the Global Defense Initiative. You can take control of either side for more than 15 missions. Both have different units and structures, including artillery, tanks and light infantry. In most missions you have to build a base first to build new units and structures. Most important are the special harvesters, which collect Tiberium and deliver it to a refinery, where it's converted into money - money which is needed to create additional units. The game also features FMV mission briefings and victory cutscenes.
